country,year,region,co2,coal_co2,gas_co2,oil_co2,co2_per_capita,gdp,gdp_per_capita,temperature_change_from_co2
Germany,1998,Europe,0.923499,377.48,165.377,351.914,11.261,2535903723520.0,30921.15538259536,0.033
Germany,1999,Europe,0.895442,360.052,165.627,340.846,10.963,2613176696832.0,31993.532782834467,0.034
Germany,2000,Europe,0.898976,373.461,166.421,330.774,10.99,2718560681984.0,33235.353460015256,0.034
Germany,2001,Europe,0.915255,376.52,173.799,338.871,11.171,2793372909568.0,34093.01264982156,0.034
Germany,2002,Europe,0.8988339999999999,375.786,173.61,324.413,10.952,2822441533440.0,34391.361469433126,0.035
Germany,2003,Europe,0.894501,378.305,176.587,313.847,10.894,2831676080128.0,34485.692945939845,0.035
Germany,2004,Europe,0.8765700000000001,374.908,174.327,301.208,10.678,2894624980992.0,35260.440568154736,0.036
Germany,2005,Europe,0.867881,361.975,175.904,305.188,10.578,2945460994048.0,35899.79708086115,0.036
Germany,2006,Europe,0.8864339999999999,367.653,180.197,313.191,10.85,3086359199744.0,37775.82305503989,0.036
Germany,2007,Europe,0.846116,376.715,173.851,268.924,10.408,3220275724288.0,39610.495915732616,0.037
Germany,2008,Europe,0.856607,353.581,180.995,296.43,10.561,3289020366848.0,40549.7311984704,0.037
Germany,2009,Europe,0.7899510000000001,316.28,168.399,282.438,9.76,3136502104064.0,38753.21488762471,0.037
Germany,2010,Europe,0.82668,341.311,184.875,277.154,10.227,3301123031040.0,40839.85625252773,0.038
Germany,2011,Europe,0.8045140000000001,339.624,169.399,270.809,9.95,3467712921600.0,42886.51953600018,0.038
Germany,2012,Europe,0.81409,350.039,167.837,271.945,10.061,3482225475584.0,43034.857912957144,0.038
Germany,2013,Europe,0.831743,357.254,170.267,280.396,10.263,3497463119872.0,43156.40341503707,0.039
Germany,2014,Europe,0.7925789999999999,344.722,151.986,271.602,9.74,3574741336064.0,43928.65107192804,0.039
Germany,2015,Europe,0.800844,341.117,157.11,278.861,9.757,3628073746432.0,44202.99976356506,0.04
Germany,2016,Europe,0.798014,329.436,169.169,275.703,9.642,3708980035584.0,44816.04100990695,0.04
Germany,2017,Europe,0.784594,312.692,172.045,275.505,9.441,3808389496832.0,45826.78266883192,0.04
Germany,2018,Europe,0.760046,296.871,169.76,269.351,9.117,3845758648320.0,46129.633753062575,0.041
Germany,2019,Europe,0.709827,240.114,172.762,273.111,8.495,3886392803328.0,46510.65952029091,0.041
Germany,2020,Europe,0.648357,198.53,170.963,255.645,7.753,3742720851968.0,44754.01817406943,0.041
Germany,2021,Europe,0.6787770000000001,232.149,181.116,241.585,8.11,3841041629184.0,45892.18091478984,0.041
Germany,2022,Europe,0.671472,240.64,160.776,247.44,7.986,3909612732416.0,46495.280207075055,0.042
